/,4863843,5533917,2463892,2290756,597292,1828495,8230778,3536895,2790509,3800863,1297075,0,1530035,1114940,1302331,744500,1669396,770610,180173,1953798,2984356,644053,375417,137915,3694430,79547,412075,229276,1630980,675931,477012,384621,84144,643638,826352,275526,80511,428454,615760,101206,25127,157470,328439,742559,1080406,54591,672522,47073,901165
675931,207957,1214908,307885,299009,202070,249612,212334,522341,118255,140816,97061,0,131744,14523,156284,0,116854,64390,268840,354821,411477,0,0,0,253487,0,0,23432,211537,/,16920,38618,0,12852,220743,0,0,78378,0,0,0,0,20851,19067,47887,27624,0,0,17391
477012,164428,943461,352434,159389,232528,304221,133256,789068,56035,0,261613,0,214876,0,193977,0,151719,122269,271128,187270,363693,0,0,0,246436,0,0,0,193129,16920,/,0,0,0,140024,0,0,0,12328,0,0,0,0,0,24553,0,0,0,0
384621,173694,616498,411857,329254,229587,352328,137669,963205,74467,75360,345514,0,285624,0,304335,0,212155,0,207085,517478,430284,0,0,0,288851,0,0,117851,241523,38618,0,/,0,0,0,0,0,0,0,26355,0,0,0,0,35794,0,77189,0,0
84144,2256404,290733,434090,185633,0,0,0,105957,61548,0,729406,266436,0,860387,151090,676575,0,0,0,496114,0,0,542943,0,0,0,0,0,647446,0,0,0,/,149900,0,0,0,0,0,0,0,0,0,0,0,0,253582,0,0
643638,547757,674837,1860655,882933,66007,205109,155268,859527,68267,512780,502056,0,143766,116676,136483,145340,72216,13009,169514,661999,161842,0,22142,0,254637,14701,0,0,331191,12852,0,0,149900,/,141642,0,0,0,0,0,0,0,0,93044,0,0,146062,0,0
826352,428135,882571,758630,425236,289320,300331,322901,819620,142318,0,188246,0,471076,45529,189962,102560,264478,127728,411069,527208,473988,65629,0,134727,314274,0,42528,229256,251946,220743,140024,0,0,141642,/,0,0,0,195038,0,0,0,0,211843,214497,0,55228,0,0
275526,0,274879,164382,35312,175389,260146,63133,735624,0,0,0,0,128841,0,29704,0,0,0,227139,0,423153,0,0,0,110740,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0
80511,0,354650,0,0,301391,298375,229706,258407,0,0,0,0,172727,0,24053,0,184864,0,600509,0,365024,0,0,0,535509,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0
428454,104635,417621,258767,93363,122911,214003,72867,830543,123336,99850,354655,0,358909,78647,559798,0,153828,116839,201517,520168,166123,0,0,0,284628,0,62920,124118,275226,78378,0,0,0,0,0,0,0,/,0,0,0,0,0,35571,0,0,0,0,0
615760,0,265288,318747,178476,152542,272021,328294,1476295,146204,0,0,0,50453,0,76622,0,27299,0,263431,88197,543205,0,0,0,0,0,22415,0,32789,0,12328,0,0,0,195038,0,0,0,/,0,0,0,0,0,0,0,0,0,0
101206,67217,434738,392493,276800,51397,120361,30667,748515,0,0,0,0,122764,0,146595,0,89253,0,93741,134978,319207,20781,0,0,160073,0,40125,14168,34792,0,0,26355,0,0,0,0,0,0,0,/,0,0,0,21876,19964,0,68562,0,0
25127,107255,328996,755858,580873,0,38018,0,474592,0,39943,148845,0,74913,0,74372,0,0,95206,65967,523362,46148,0,0,0,0,0,0,0,161159,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,80398,0,0
157470,0,575005,248705,86794,82425,108547,39929,666226,0,0,86229,0,149734,0,109276,0,89590,0,227654,114209,294982,0,0,0,94085,0,0,0,89842,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0
328439,0,291363,231538,50273,182957,84219,88947,938961,259450,0,0,0,120500,0,40501,0,0,0,0,0,464238,0,0,0,146274,0,37610,0,0,20851,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0
742559,441600,543149,1114403,1378184,127326,358554,434571,1340422,67569,93279,104866,0,145518,62532,98231,63327,210490,115003,207624,420324,472863,0,0,20870,278348,0,25431,79537,175020,19067,0,0,0,93044,211843,0,0,35571,0,21876,0,0,0,/,0,0,71627,0,0
1080406,198094,726070,417710,253918,397029,437938,396511,1285616,466632,133176,76057,0,237685,0,196434,0,210732,95709,462161,144466,741769,69271,0,0,303863,0,59858,18372,117510,47887,24553,35794,0,0,214497,0,0,0,0,19964,0,0,0,0,/,24397,82368,0,0
54591,59591,652214,237618,18721,257213,443589,449552,771358,0,0,0,0,286676,0,223227,0,254139,0,496079,102036,493924,63368,0,0,455819,0,60397,0,63073,27624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24397,/,0,0,0
672522,1507041,680571,748354,376376,174406,215404,0,987879,179041,973963,1254503,167265,435656,918670,526801,504816,0,143311,283353,1495463,196683,0,585855,149270,255796,281855,163825,143905,922303,0,0,77189,253582,146062,55228,0,0,0,0,68562,80398,0,0,71627,82368,0,/,0,0
47073,0,217199,319365,246720,24087,71078,53322,701690,0,0,0,0,83411,0,18773,0,111596,0,127044,33442,266450,0,0,0,135600,0,0,0,86059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0
901165,0,696799,0,0,185511,185699,155271,423390,277251,0,86424,0,204417,0,73158,0,146735,0,399543,0,309743,0,0,0,387628,0,0,0,184017,17391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/
